Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
running,21/05/2019 17:55,FALSE,Wokingham Running,5.01,552,00:35:47,158,181,3.5,152,165,07:09,05:32,6,11,0.92,0,0,0,0,0,00:00,0,00:00,No,00:03.1,6,0
running,19/05/2019 09:38,FALSE,Wallingford 10km,10.01,"1,144",01:12:32,160,170,4.7,156,178,07:15,04:31,19,18,0.89,0,0,0,0,0,00:00,0,00:00,No,00:03.7,11,0
running,15/05/2019 18:43,FALSE,Wokingham Running,5.01,407,00:33:53,133,166,2.4,155,176,06:46,05:12,15,11,0.96,0,0,0,0,0,00:00,0,00:00,No,00:03.4,6,0
running,13/05/2019 18:27,FALSE,Wokingham Running,5.01,497,00:33:17,152,169,3.4,156,171,06:39,05:32,8,5,0.97,0,0,0,0,0,00:00,0,00:00,No,00:02.5,6,0
running,11/05/2019 11:24,FALSE,Wokingham Running,5.01,528,00:34:01,157,170,3.6,157,165,06:47,05:22,15,13,0.94,0,0,0,0,0,00:00,0,00:00,No,00:02.1,6,0
running,09/05/2019 18:55,FALSE,Wokingham Running,5.01,532,00:35:09,153,164,3.5,155,174,07:01,06:00,4,2,0.92,0,0,0,0,0,00:00,0,00:00,No,00:02.6,6,0
running,07/05/2019 18:37,FALSE,Wokingham Running,5.01,504,00:34:28,149,162,3.3,157,171,06:53,05:46,8,7,0.92,0,0,0,0,0,00:00,0,00:00,No,00:02.0,6,0
running,05/05/2019 09:04,FALSE,Wokingham Running,5.01,542,00:34:11,160,177,3.8,158,168,06:49,05:58,8,4,0.93,0,0,0,0,0,00:00,0,00:00,No,00:03.0,6,0
running,03/05/2019 17:45,FALSE,Wokingham Running,5.01,536,00:36:34,148,157,3.3,155,167,07:18,06:10,11,10,0.88,0,0,0,0,0,00:00,0,00:00,No,00:02.2,6,0
running,30/04/2019 18:24,FALSE,Wokingham Running,5,520,00:34:26,154,165,3.4,154,165,06:53,05:48,9,6,0.94,0,0,0,0,0,00:00,0,00:00,No,00:01.7,6,0
running,27/04/2019 08:29,FALSE,Wokingham Running,10.01,"1,017",01:11:00,149,165,4.2,155,172,07:06,05:22,22,18,0.91,0,0,0,0,0,00:00,0,00:00,No,00:03.4,11,0
running,24/04/2019 18:31,FALSE,Wokingham Running,5.01,517,00:35:37,146,160,3.3,155,171,07:06,05:28,10,9,0.91,0,0,0,0,0,00:00,0,00:00,No,00:03.4,6,0
running,22/04/2019 09:36,FALSE,Wokingham Running,5.01,662,00:34:44,176,191,5,153,168,06:56,05:50,10,9,0.94,0,0,0,0,0,00:00,0,00:00,No,00:02.6,6,0
running,20/04/2019 08:59,FALSE,Wokingham Running,5.01,508,00:34:32,145,164,3.2,156,171,06:54,05:28,7,6,0.93,0,0,0,0,0,00:00,0,00:00,No,00:02.9,6,0
running,17/04/2019 17:58,FALSE,Wokingham Running,5.01,538,00:34:36,150,162,3.3,153,167,06:55,05:45,11,7,0.95,0,0,0,0,0,00:00,0,00:00,No,00:02.9,6,0
running,15/04/2019 18:44,FALSE,Wokingham Running,5.01,523,00:34:50,146,176,3.2,154,165,06:57,05:25,7,6,0.93,0,0,0,0,0,00:00,0,00:00,No,00:02.4,6,0
running,13/04/2019 10:51,FALSE,Wokingham Running,5.01,370,00:34:12,127,140,2,158,172,06:50,04:59,2,3,0.93,0,0,0,0,0,00:00,0,00:00,No,00:01.4,6,0
running,10/04/2019 17:59,FALSE,Wokingham Running,5.01,499,00:33:17,149,163,3.3,155,167,06:39,05:31,5,1,0.97,0,0,0,0,0,00:00,0,00:00,No,00:02.4,6,0
running,08/04/2019 18:25,FALSE,Wokingham Running,5.01,533,00:35:19,149,162,3.3,155,169,07:03,05:08,14,6,0.92,0,0,0,0,0,00:00,0,00:00,No,00:01.7,6,0
running,06/04/2019 09:17,FALSE,Wokingham Running,5.01,602,00:35:16,165,179,4,157,172,07:03,05:47,6,5,0.9,0,0,0,0,0,00:00,0,00:00,No,00:02.5,6,0
running,04/04/2019 18:20,FALSE,Wokingham Running,5.01,543,00:35:56,149,166,3.3,155,175,07:10,05:15,5,6,0.9,0,0,0,0,0,00:00,0,00:00,No,00:02.2,6,0
running,02/04/2019 18:00,FALSE,Wokingham Running,5.01,540,00:35:14,152,179,3.6,156,172,07:02,05:42,13,8,0.91,0,0,0,0,0,00:00,0,00:00,No,00:02.7,6,0
running,31/03/2019 10:35,FALSE,Wokingham Running,5.01,501,00:34:15,145,162,3.2,158,171,06:50,05:47,8,7,0.92,0,0,0,0,0,00:00,0,00:00,No,00:03.4,6,0
running,27/03/2019 18:03,FALSE,Wokingham Running,5.01,341,00:34:01,124,162,2.2,154,167,06:47,05:33,3,--,0.96,0,0,0,0,0,00:00,0,00:00,No,00:02.7,6,0
running,25/03/2019 17:56,FALSE,Wokingham Running,5.01,309,00:35:32,118,148,2,154,168,07:06,05:24,8,7,0.92,0,0,0,0,0,00:00,0,00:00,No,00:02.3,6,0
running,24/03/2019 10:16,FALSE,Wokingham Running,5.01,486,00:35:29,144,158,3.2,155,172,07:05,06:27,--,3,0.91,0,0,0,0,0,00:00,0,00:00,No,00:01.5,6,0
running,21/03/2019 08:38,FALSE,Wokingham Running,10.01,"1,406",01:12:42,182,198,5,155,173,07:16,06:03,13,10,0.89,0,0,0,0,0,00:00,0,00:00,No,00:02.6,11,0
running,18/03/2019 18:32,FALSE,Wokingham - Running,5.01,468,00:34:45,142,170,3.1,154,171,06:56,05:11,7,15,0.93,0,0,0,0,0,00:00,0,00:00,No,00:02.1,6,0
running,16/03/2019 09:28,FALSE,Wokingham - Running,5.01,600,00:36:18,166,182,4.1,157,208,07:15,05:38,6,7,0.88,0,0,0,0,0,00:00,0,00:00,No,00:01.9,6,0
running,14/03/2019 17:51,FALSE,Wokingham - Running,5,527,00:36:00,149,159,3.3,156,167,07:12,05:36,8,8,0.89,0,0,0,0,0,00:00,0,00:00,No,00:01.7,6,0
running,11/03/2019 18:17,FALSE,Wokingham - Running,5.01,530,00:35:09,154,168,3.5,155,171,07:01,05:22,3,2,0.92,0,0,0,0,0,00:00,0,00:00,No,00:02.2,6,0
running,09/03/2019 18:01,FALSE,Wokingham - Running,5.01,363,00:36:09,122,133,1.8,156,169,07:13,05:55,14,13,0.89,0,0,0,0,0,00:00,0,00:00,No,00:02.0,6,0
running,06/03/2019 17:58,FALSE,Wokingham - Running,5.01,592,00:36:44,161,190,3.9,155,165,07:20,05:57,10,9,0.88,0,0,0,0,0,00:00,0,00:00,No,00:02.0,6,0
running,04/03/2019 18:32,FALSE,Wokingham - Running,5.01,524,00:35:54,148,160,3.3,156,242,07:10,06:00,10,8,0.89,0,0,0,0,0,00:00,0,00:00,No,00:02.1,6,0
running,02/03/2019 10:25,FALSE,Erewash - Running,5.01,577,00:35:10,163,191,4,159,172,07:01,05:26,7,4,0.9,0,0,0,0,0,00:00,0,00:00,No,00:02.0,6,0
running,27/02/2019 18:19,FALSE,Wokingham Running,5.01,527,00:36:17,149,188,3.5,155,168,07:15,05:49,7,7,0.89,0,0,0,0,0,00:00,0,00:00,No,06:54.3,6,0
running,25/02/2019 18:15,FALSE,Wokingham Running,5.01,523,00:37:07,145,162,3.2,155,164,07:25,05:58,7,7,0.87,0,0,0,0,0,00:00,0,00:00,No,07:05.0,6,0
running,23/02/2019 08:05,FALSE,Wokingham Running,10.03,"1,165",01:15:14,158,187,4.6,156,168,07:30,06:08,17,16,0.86,0,0,0,0,0,00:00,0,00:00,No,07:01.4,11,0
